店舗CD,店舗,グループCD,グループ,9時迄売上高,10時迄売上高,11時迄売上高,12時迄売上高,13時迄売上高,14時迄売上高,15時迄売上高,16時迄売上高,17時迄売上高
"","",221,デイリーフーズ,9.0,56.0,189.0,388.0,586.0,752.0,937.0,1091.0,1302.0
0000025280,小松, ,小松計,160.0,231.0,422.0,684.0,804.0,966.0,1121.0,1281.0,1476.0
"","",211,グロサリー,67.0,98.0,184.0,312.0,366.0,443.0,520.0,588.0,678.0
"","",214,リカー,27.0,34.0,53.0,73.0,75.0,93.0,103.0,124.0,149.0
"","",221,デイリーフーズ,66.0,100.0,185.0,300.0,363.0,431.0,498.0,569.0,649.0
0000049490,上麻生, ,上麻生計,0.0,51.0,135.0,232.0,355.0,433.0,569.0,690.0,823.0
"","",211,グロサリー,0.0,21.0,55.0,88.0,141.0,176.0,229.0,273.0,330.0
"","",214,リカー,0.0,3.0,16.0,21.0,32.0,41.0,60.0,76.0,90.0
"","",221,デイリーフーズ,0.0,27.0,64.0,123.0,182.0,216.0,280.0,341.0,403.0
0000082910,ヴィルマルシェ青山, ,ヴィルマルシェ青山計,29.0,88.0,164.0,265.0,363.0,439.0,501.0,584.0,693.0
"","",211,グロサリー,11.0,38.0,77.0,123.0,173.0,205.0,228.0,268.0,313.0
"","",214,リカー,1.0,4.0,10.0,16.0,23.0,34.0,39.0,44.0,68.0
"","",221,デイリーフーズ,16.0,46.0,77.0,127.0,168.0,200.0,234.0,271.0,311.0
0000006820,臼井, ,臼井計,26.0,118.0,327.0,615.0,888.0,1157.0,1418.0,1718.0,2005.0
"","",211,グロサリー,12.0,58.0,151.0,282.0,401.0,531.0,653.0,782.0,919.0
"","",214,リカー,1.0,10.0,30.0,52.0,72.0,98.0,120.0,158.0,192.0
"","",221,デイリーフーズ,13.0,50.0,146.0,281.0,415.0,529.0,645.0,779.0,893.0
0000009210,三条, ,三条計,164.0,229.0,331.0,472.0,596.0,692.0,831.0,990.0,1154.0
"","",211,グロサリー,77.0,110.0,161.0,226.0,274.0,312.0,375.0,454.0,524.0
"","",214,リカー,32.0,41.0,56.0,72.0,94.0,116.0,142.0,164.0,177.0
"","",221,デイリーフーズ,54.0,77.0,114.0,174.0,228.0,264.0,313.0,372.0,453.0
0000017370,常陸大宮　　　　　, ,常陸大宮　　　　　計,14.0,69.0,135.0,301.0,452.0,551.0,665.0,809.0,957.0
"","",211,グロサリー,8.0,40.0,73.0,158.0,233.0,271.0,327.0,393.0,461.0
"","",214,リカー,0.0,12.0,21.0,42.0,65.0,79.0,93.0,107.0,127.0
"","",221,デイリーフーズ,6.0,17.0,42.0,101.0,154.0,200.0,246.0,309.0,370.0
0000024510,みぶ　　　　　　　, ,みぶ　　　　　　　計,45.0,80.0,132.0,249.0,314.0,375.0,448.0,510.0,632.0
"","",211,グロサリー,31.0,52.0,72.0,129.0,157.0,182.0,222.0,256.0,317.0
"","",214,リカー,5.0,9.0,21.0,45.0,61.0,70.0,82.0,89.0,101.0
"","",221,デイリーフーズ,9.0,19.0,39.0,75.0,96.0,124.0,145.0,165.0,214.0
0000031030,藤沢, ,藤沢計,56.0,194.0,507.0,865.0,1268.0,1557.0,1910.0,2307.0,2655.0
"","",211,グロサリー,21.0,89.0,241.0,392.0,581.0,708.0,882.0,1058.0,1211.0
"","",214,リカー,13.0,30.0,51.0,98.0,146.0,177.0,214.0,267.0,323.0
"","",221,デイリーフーズ,23.0,75.0,214.0,375.0,542.0,671.0,814.0,982.0,1121.0
0000031080,八潮南, ,八潮南計,24.0,95.0,217.0,408.0,545.0,739.0,894.0,1063.0,1258.0
"","",211,グロサリー,11.0,51.0,102.0,200.0,268.0,352.0,418.0,490.0,574.0
"","",214,リカー,2.0,8.0,19.0,31.0,39.0,65.0,89.0,104.0,125.0
"","",221,デイリーフーズ,10.0,35.0,96.0,177.0,239.0,322.0,388.0,469.0,558.0
0000032290,美園三丁目, ,美園三丁目計,20.0,55.0,94.0,171.0,243.0,311.0,377.0,480.0,571.0
"","",211,グロサリー,8.0,20.0,36.0,72.0,101.0,136.0,169.0,201.0,234.0
"","",214,リカー,0.0,5.0,8.0,9.0,22.0,28.0,35.0,58.0,71.0
"","",221,デイリーフーズ,12.0,30.0,50.0,90.0,119.0,146.0,174.0,220.0,266.0
0000049500,戸塚, ,戸塚計,0.0,106.0,324.0,649.0,1015.0,1335.0,1593.0,1989.0,2266.0
"","",211,グロサリー,0.0,56.0,158.0,320.0,477.0,621.0,730.0,897.0,1010.0
"","",214,リカー,0.0,12.0,37.0,73.0,107.0,139.0,182.0,238.0,281.0
"","",221,デイリーフーズ,0.0,38.0,129.0,257.0,430.0,575.0,681.0,854.0,975.0
0000049810,河辺, ,河辺計,0.0,74.0,295.0,608.0,902.0,1140.0,1414.0,1674.0,1995.0
"","",211,グロサリー,0.0,36.0,133.0,259.0,371.0,465.0,575.0,668.0,800.0
"","",214,リカー,0.0,9.0,20.0,34.0,64.0,88.0,117.0,147.0,189.0
"","",221,デイリーフーズ,0.0,29.0,141.0,315.0,467.0,588.0,722.0,859.0,1005.0
0000009350,長岡, ,長岡計,33.0,93.0,253.0,454.0,692.0,859.0,1036.0,1332.0,1509.0
"","",211,グロサリー,17.0,53.0,135.0,227.0,337.0,422.0,512.0,667.0,750.0
"","",214,リカー,2.0,7.0,35.0,56.0,94.0,105.0,122.0,167.0,180.0
